"Reference","Value","Datasheet","Footprint","Qty","DNP","DigiKey","Mouser"
"C1,C8,C25,C38,C39,C43,C45,C58,C68,C69","0.01uF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","10","","BC2662CT-ND",""
"C2,C4,C12,C14,C15,C16,C17,C18,C19,C20,C21,C27,C50,C51,C52,C53,C54,C55,C56,C57","0.1uF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","20","","BC1101CT-ND",""
"C3,C5,C41,C59","33pF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4","","BC1007CT-ND",""
"C6","4.7pF","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","445-180473-1-ND",""
"C7","2-22pF","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C315C220K2G5TA7301","Dragon:Trimmer-7.5mm","1","","4363-PPXE27000-ND",""
"C9,C40,C48,C49","22pF","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C315C220K2G5TA7301","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4","","399-13930-1-ND",""
"C10,C11,C28,C37","4.7uF","https://datasheets.kyocera-avx.com/tap.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","4","","478-8984-1-ND",""
"C13,C35,C42","10uF","https://www.we-online.com/katalog/datasheet/860010372001.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","3","","732-8593-1-ND",""
"C22,C36","100uF","https://www.we-online.com/katalog/datasheet/860010372006.pdf","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","","732-8598-1-ND",""
"C23,C29","1uF","https://www.we-online.com/katalog/datasheet/860020772005.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2","","732-8966-1-ND",""
"C24","47uF","https://datasheets.kyocera-avx.com/tap.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","","478-8984-1-ND",""
"C26","2.2nF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","BC1074CT-ND",""
"C30,C31,C32,C33,C44","22nF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5","","BC2677CT-ND",""
"C34","330pF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","BC1045CT-ND",""
"C46,C71","180pF","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2","","BC1016CT-ND",""
"C47","100pF","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C316C101J5G5TA7303","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","399-C316C101J5G5TA7303CT-ND",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","1N914","http://www.vishay.com/docs/85622/1n914.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","9","","1N914FS-ND",""
